Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
199.447,0.07,199.447,0.0,199.447,0.02
199.66400000000002,0.07,199.66400000000002,0.02,199.66400000000002,0.04
199.88099999999997,0.05,199.88099999999997,-0.02,199.88099999999997,0.03
200.09900000000002,0.07,200.09900000000002,0.01,200.09900000000002,0.05
200.31599999999997,0.06,200.31599999999997,0.0,200.31599999999997,0.04
200.533,0.08,200.533,0.02,200.533,0.09
200.75,0.07,200.75,0.03,200.75,0.04
200.967,0.09,200.967,0.03,200.967,0.03
201.18400000000003,0.11,201.18400000000003,0.04,201.18400000000003,0.04
201.40099999999998,0.11,201.40099999999998,0.03,201.40099999999998,0.07
201.61900000000003,0.1,201.61900000000003,0.01,201.61900000000003,0.07
201.83599999999998,0.14,201.83599999999998,0.01,201.83599999999998,0.08
202.053,0.12,202.053,0.04,202.053,0.13
202.27,0.05,202.27,0.03,202.27,0.11
202.487,0.04,202.487,0.06,202.487,0.08
202.704,0.04,202.704,0.08,202.704,0.09
202.921,0.01,202.921,0.09,202.921,0.14
203.138,0.04,203.138,0.1,203.138,0.1
203.355,0.07,203.355,0.09,203.355,0.07
203.572,0.07,203.572,0.09,203.572,0.09
203.78900000000002,0.05,203.78900000000002,0.09,203.78900000000002,0.06
204.00599999999997,0.06,204.00599999999997,0.09,204.00599999999997,0.05
204.22299999999998,0.09,204.22299999999998,0.1,204.22299999999998,0.07
204.44,0.09,204.44,0.13,204.44,0.09
204.657,0.13,204.657,0.12,204.657,0.09
204.87400000000002,0.16,204.87400000000002,0.1,204.87400000000002,0.1
205.09099999999998,0.15,205.09099999999998,0.07,205.09099999999998,0.05
205.308,0.12,205.308,0.06,205.308,0.06
205.525,0.12,205.525,0.01,205.525,0.08
205.74099999999999,0.09,205.74099999999999,0.01,205.74099999999999,0.05
205.958,0.06,205.958,-0.02,205.958,0.02
206.175,0.09,206.175,0.02,206.175,0.09
206.392,0.13,206.392,0.02,206.392,0.09
206.609,0.14,206.609,0.05,206.609,0.08
206.826,0.13,206.826,0.05,206.826,0.07
207.043,0.16,207.043,0.09,207.043,0.11
207.25900000000001,0.13,207.25900000000001,0.02,207.25900000000001,0.07
207.476,0.13,207.476,0.03,207.476,0.05
207.69299999999998,0.13,207.69299999999998,0.04,207.69299999999998,0.04
207.91,0.09,207.91,0.08,207.91,0.04
208.127,0.11,208.127,0.07,208.127,0.06
208.343,0.1,208.343,0.1,208.343,0.08
208.56,0.07,208.56,0.08,208.56,0.11
208.77700000000002,0.06,208.77700000000002,0.03,208.77700000000002,0.12
208.99400000000003,0.07,208.99400000000003,0.03,208.99400000000003,0.15
209.21,0.06,209.21,0.06,209.21,0.07
209.42700000000002,0.08,209.42700000000002,0.03,209.42700000000002,0.04
209.644,0.09,209.644,0.0,209.644,-0.01
209.861,0.04,209.861,0.02,209.861,-0.06
210.077,0.08,210.077,0.0,210.077,-0.06
210.294,0.06,210.294,-0.03,210.294,-0.07
210.511,0.03,210.511,0.0,210.511,-0.02
210.727,-0.01,210.727,0.01,210.727,0.0
210.94400000000002,0.08,210.94400000000002,0.04,210.94400000000002,0.07
211.16099999999997,0.03,211.16099999999997,0.03,211.16099999999997,0.02
211.377,0.07,211.377,0.06,211.377,0.04
211.59400000000002,0.1,211.59400000000002,0.09,211.59400000000002,0.05
211.81,0.12,211.81,0.12,211.81,0.03
212.02700000000002,0.11,212.02700000000002,0.12,212.02700000000002,0.04
212.24400000000003,0.14,212.24400000000003,0.11,212.24400000000003,0.06
212.46,0.15,212.46,0.12,212.46,0.08
212.67700000000002,0.15,212.67700000000002,0.14,212.67700000000002,0.07
212.893,0.14,212.893,0.13,212.893,0.11
213.11,0.16,213.11,0.12,213.11,0.12
