Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
199.013,0.18,199.013,-1.03,199.013,0.15
199.23,0.17,199.23,-1.02,199.23,0.15
199.447,0.14,199.447,-1.0,199.447,0.15
199.66400000000002,0.13,199.66400000000002,-1.0,199.66400000000002,0.09
199.88099999999997,0.1,199.88099999999997,-1.01,199.88099999999997,0.06
200.09900000000002,0.1,200.09900000000002,-1.04,200.09900000000002,0.05
200.31599999999997,0.14,200.31599999999997,-1.03,200.31599999999997,0.08
200.533,0.14,200.533,-1.04,200.533,0.05
200.75,0.13,200.75,-1.04,200.75,0.09
200.967,0.17,200.967,-1.03,200.967,0.11
201.18400000000003,0.16,201.18400000000003,-1.03,201.18400000000003,0.1
201.40099999999998,0.13,201.40099999999998,-1.08,201.40099999999998,0.11
201.61900000000003,0.17,201.61900000000003,-1.07,201.61900000000003,0.09
201.83599999999998,0.22,201.83599999999998,-1.05,201.83599999999998,0.12
202.053,0.17,202.053,-1.1,202.053,0.1
202.27,0.19,202.27,-1.14,202.27,0.09
202.487,0.21,202.487,-1.14,202.487,0.05
202.704,0.21,202.704,-1.14,202.704,0.06
202.921,0.18,202.921,-1.16,202.921,0.07
203.138,0.21,203.138,-1.15,203.138,0.08
203.355,0.19,203.355,-1.11,203.355,0.07
203.572,0.2,203.572,-1.09,203.572,0.11
203.78900000000002,0.2,203.78900000000002,-1.11,203.78900000000002,0.1
204.00599999999997,0.21,204.00599999999997,-1.09,204.00599999999997,0.1
204.22299999999998,0.19,204.22299999999998,-1.1,204.22299999999998,0.07
204.44,0.19,204.44,-1.12,204.44,0.07
204.657,0.16,204.657,-1.15,204.657,0.04
204.87400000000002,0.16,204.87400000000002,-1.15,204.87400000000002,0.07
205.09099999999998,0.13,205.09099999999998,-1.16,205.09099999999998,0.11
205.308,0.13,205.308,-1.15,205.308,0.13
205.525,0.13,205.525,-1.19,205.525,0.18
205.74099999999999,0.11,205.74099999999999,-1.19,205.74099999999999,0.16
205.958,0.08,205.958,-1.19,205.958,0.12
206.175,0.09,206.175,-1.23,206.175,0.06
206.392,0.09,206.392,-1.27,206.392,0.06
206.609,0.06,206.609,-1.25,206.609,0.04
206.826,0.09,206.826,-1.23,206.826,0.11
207.043,0.07,207.043,-1.26,207.043,0.09
207.25900000000001,0.1,207.25900000000001,-1.25,207.25900000000001,0.13
207.476,0.11,207.476,-1.24,207.476,0.11
207.69299999999998,0.15,207.69299999999998,-1.23,207.69299999999998,0.14
207.91,0.18,207.91,-1.27,207.91,0.12
208.127,0.21,208.127,-1.24,208.127,0.18
208.343,0.2,208.343,-1.23,208.343,0.15
