Absorbance:209,
263.482,1.44
263.696,1.44
263.91,1.42
264.124,1.41
264.338,1.39
264.552,1.38
264.766,1.37
264.98,1.37
265.194,1.37
265.408,1.37
265.622,1.36
265.835,1.36
266.049,1.35
266.263,1.34
266.477,1.34
266.691,1.33
266.905,1.32
267.118,1.32
267.332,1.31
267.546,1.31
267.76,1.31
267.973,1.3
268.187,1.3
268.401,1.3
268.615,1.29
268.828,1.29
269.042,1.28
269.256,1.28
269.469,1.28
269.683,1.27
269.897,1.27
270.11,1.26
270.324,1.26
270.538,1.25
270.751,1.25
270.965,1.25
271.178,1.24
271.392,1.24
271.606,1.24
271.819,1.23
272.033,1.23
272.246,1.22
272.46,1.22
272.673,1.21
272.887,1.21
273.1,1.21
273.314,01.02
273.527,01.02
273.741,1.19
273.954,1.19
274.167,1.18
274.381,1.18
274.594,1.18
274.808,1.17
275.021,1.17
275.234,1.16
275.448,1.16
275.661,1.16
275.874,1.15
276.088,1.15
276.301,1.14
276.514,1.14
276.728,1.14
276.941,1.13
277.154,1.13
277.367,1.12
277.581,1.12
277.794,1.11
278.007,1.1
278.22,1.1
278.434,01.09
278.647,01.09
278.86,01.08
279.073,01.08
279.286,01.07
279.499,01.07
279.713,01.06
279.926,01.06
280.139,01.05
280.352,01.05
280.565,01.04
280.778,01.03
280.991,01.03
281.204,01.02
281.417,01.01
281.63,01.01
281.843,1
282.056,1
282.269,0.99
282.482,0.98
282.695,0.98
282.908,0.97
283.121,0.96
283.334,0.96
283.547,0.95
283.76,0.94
283.973,0.93
284.186,0.92
284.399,0.92
284.612,0.91
284.824,0.91
285.037,0.9
285.25,0.89
285.463,0.88
285.676,0.88
285.889,0.87
286.101,0.86
286.314,0.85
286.527,0.84
286.74,0.84
286.952,0.83
287.165,0.82
287.378,0.81
287.591,0.81
287.803,0.8
288.016,0.79
288.229,0.78
288.441,0.78
288.654,0.77
288.867,0.76
289.079,0.76
289.292,0.75
289.505,0.74
289.717,0.73
289.93,0.73
290.142,0.72
290.355,0.71
290.567,0.71
290.78,0.7
290.992,0.69
291.205,0.68
291.417,0.67
291.63,0.67
291.842,0.66
292.055,0.65
292.267,0.64
292.48,0.64
292.692,0.63
292.905,0.62
293.117,0.61
293.33,0.6
293.542,0.6
293.754,0.59
293.967,0.58
294.179,0.57
294.391,0.56
294.604,0.56
294.816,0.55
295.028,0.54
295.241,0.53
295.453,0.52
295.665,0.52
295.878,0.51
296.09,0.5
296.302,0.49
296.514,0.49
296.727,0.48
296.939,0.47
297.151,0.46
297.363,0.46
297.575,0.45
297.787,0.44
298,0.44
298.212,0.43
298.424,0.42
298.636,0.42
298.848,0.41
299.06,0.4
299.272,0.4
299.484,0.39
299.696,0.39
299.908,0.38
300.121,0.37
300.333,0.37
300.545,0.36
300.757,0.36
300.969,0.35
301.181,0.35
301.393,0.34
301.604,0.34
301.816,0.33
302.028,0.33
302.24,0.32
302.452,0.32
302.664,0.31
302.876,0.31
303.088,0.31
303.3,0.3
303.512,0.3
303.723,0.29
303.935,0.29
304.147,0.29
304.359,0.28
304.571,0.28
304.782,0.27
304.994,0.27
305.206,0.27
305.418,0.26
305.63,0.26
305.841,0.26
306.053,0.25
306.265,0.25
306.476,0.25
306.688,0.24
306.9,0.24
307.111,0.24
307.323,0.23
307.535,0.23
307.746,0.23
307.958,0.22
308.17,0.22
308.381,0.22
308.593,0.21
308.804,0.21
309.016,0.21
309.227,0.2
309.439,0.2
309.65,0.2
309.862,0.19
310.073,0.19
310.285,0.19
310.496,0.19
310.708,0.18
310.919,0.18
311.131,0.18
311.342,0.18
311.554,0.17
311.765,0.17
311.976,0.17
312.188,0.16
312.399,0.16
312.61,0.16
312.822,0.15
313.033,0.15
313.244,0.15
313.456,0.15
313.667,0.14
313.878,0.14
314.09,0.14
314.301,0.14
314.512,0.13
314.723,0.13
314.935,0.13
315.146,0.13
315.357,0.12
315.568,0.12
315.779,0.12
315.991,0.12
316.202,0.11
316.413,0.11
316.624,0.11
316.835,0.11
317.046,0.11
317.257,0.1
317.468,0.1
317.68,0.1
317.891,0.1
318.102,0.1
318.313,0.09
318.524,0.09
318.735,0.09
318.946,0.09
319.157,0.09
319.368,0.08
319.579,0.08
319.79,0.08
320.001,0.08
320.212,0.08
320.423,0.08
320.633,0.07
320.844,0.07
321.055,0.07
321.266,0.07
321.477,0.07
321.688,0.07
321.899,0.07
322.11,0.07
322.32,0.07
322.531,0.06
322.742,0.06
322.953,0.06
323.163,0.06
323.374,0.06
323.585,0.06
323.796,0.06
324.006,0.06
324.217,0.06
324.428,0.05
324.639,0.05
324.849,0.05
325.06,0.05
325.271,0.05
325.481,0.05
325.692,0.05
325.902,0.05
326.113,0.05
326.324,0.05
326.534,0.05
326.745,0.05
326.955,0.05
327.166,0.05
327.377,0.05
327.587,0.04
327.798,0.04
328.008,0.04
328.219,0.04
328.429,0.04
328.64,0.04
328.85,0.04
329.06,0.04
329.271,0.04
329.481,0.04
329.692,0.04
329.902,0.04
330.112,0.04
330.323,0.04
330.533,0.04
330.744,0.04
330.954,0.04
331.164,0.04
331.375,0.04
331.585,0.04
331.795,0.04
332.005,0.04
332.216,0.04
332.426,0.04
332.636,0.04
332.846,0.03
333.057,0.03
333.267,0.03
333.477,0.03
333.687,0.03
333.897,0.03
334.108,0.03
334.318,0.03
334.528,0.04
334.738,0.03
334.948,0.03
335.158,0.03
335.368,0.03
335.578,0.03
335.788,0.03
335.998,0.03
336.209,0.03
336.419,0.03
336.629,0.03
336.839,0.03
337.049,0.03
337.259,0.03
337.469,0.03
337.679,0.03
337.888,0.03
338.098,0.03
338.308,0.03
338.518,0.03
338.728,0.03
338.938,0.03
339.148,0.03
339.358,0.03
339.568,0.03
339.777,0.03
339.987,0.03
340.197,0.03
340.407,0.03
340.617,0.03
340.826,0.03
341.036,0.03
341.246,0.03
341.456,0.03
341.666,0.03
341.875,0.03
342.085,0.03
342.295,0.03
342.504,0.03
342.714,0.03
342.924,0.03
343.133,0.03
343.343,0.03
343.553,0.03
343.762,0.03
343.972,0.03
344.181,0.03
344.391,0.03
344.601,0.03
344.81,0.03
345.02,0.03
345.229,0.03
345.439,0.03
345.648,0.03
345.858,0.03
346.067,0.03
346.277,0.03
346.486,0.03
346.696,0.03
346.905,0.03
347.114,0.03
347.324,0.03
347.533,0.03
347.743,0.03
347.952,0.03
348.161,0.03
348.371,0.03
348.58,0.03
348.789,0.03
348.999,0.03
349.208,0.03
349.417,0.03
349.627,0.03
349.836,0.03
350.045,0.03
350.254,0.03
350.464,0.03
350.673,0.03
350.882,0.03
351.091,0.03
351.3,0.03
351.51,0.03
351.719,0.03
351.928,0.03
352.137,0.03
352.346,0.03
352.555,0.03
352.764,0.03
352.973,0.03
353.183,0.03
353.392,0.03
353.601,0.03
353.81,0.03
354.019,0.03
354.228,0.03
354.437,0.03
354.646,0.03
354.855,0.03
355.064,0.03
355.273,0.03
355.482,0.03
355.691,0.03
355.899,0.03
356.108,0.03
356.317,0.03
356.526,0.03
356.735,0.03
356.944,0.03
357.153,0.03
357.362,0.03
357.57,0.03
357.779,0.03
357.988,0.03
358.197,0.03
358.406,0.03
358.614,0.03
358.823,0.03
359.032,0.03
359.241,0.03
359.449,0.03
359.658,0.03
359.867,0.03
360.075,0.03
360.284,0.03
360.493,0.03
360.701,0.03
360.91,0.03
361.119,0.03
361.327,0.03
361.536,0.03
361.744,0.03
361.953,0.03
362.161,0.03
362.37,0.03
362.579,0.03
362.787,0.03
362.996,0.03
363.204,0.03
363.413,0.03
363.621,0.03
363.83,0.03
364.038,0.03
364.246,0.03
364.455,0.03
364.663,0.03
364.872,0.03
365.08,0.03
365.288,0.03
365.497,0.03
365.705,0.03
365.913,0.03
366.122,0.03
366.33,0.03
366.538,0.03
366.747,0.03
366.955,0.03
367.163,0.03
367.372,0.03
367.58,0.03
367.788,0.03
367.996,0.03
368.204,0.03
368.413,0.03
368.621,0.03
368.829,0.03
369.037,0.03
369.245,0.03
369.453,0.03
369.662,0.03
369.87,0.03
370.078,0.03
370.286,0.03
370.494,0.03
370.702,0.03
370.91,0.03
371.118,0.03
371.326,0.03
371.534,0.03
371.742,0.03
371.95,0.03
372.158,0.03
372.366,0.03
372.574,0.03
372.782,0.03
372.99,0.03
373.198,0.03
373.406,0.03
373.614,0.03
373.821,0.03
374.029,0.03
374.237,0.03
374.445,0.03
374.653,0.03
374.861,0.03
375.068,0.03
375.276,0.03
375.484,0.03
375.692,0.03
375.899,0.03
376.107,0.03
376.315,0.03
376.523,0.03
376.73,0.03
376.938,0.03
377.146,0.03
377.353,0.03
377.561,0.03
377.769,0.03
377.976,0.03
378.184,0.03
378.392,0.03
378.599,0.03
378.807,0.03
379.014,0.03
379.222,0.03
379.429,0.03
379.637,0.03
379.845,0.03
380.052,0.03
380.26,0.03
380.467,0.03
380.674,0.03
380.882,0.03
381.089,0.03
381.297,0.03
381.504,0.03
381.712,0.03
381.919,0.03
382.126,0.03
382.334,0.03
382.541,0.03
382.749,0.03
382.956,0.03
383.163,0.02
383.371,0.02
383.578,0.02
383.785,0.02
383.992,0.02
384.2,0.03
384.407,0.03
384.614,0.03
384.821,0.03
385.029,0.03
385.236,0.03
385.443,0.03
385.65,0.03
385.857,0.03
386.064,0.03
386.272,0.03
386.479,0.03
386.686,0.03
386.893,0.03
387.1,0.02
387.307,0.03
387.514,0.03
387.721,0.03
387.928,0.03
388.135,0.03
388.342,0.03
388.549,0.03
388.756,0.03
388.963,0.03
389.17,0.03
389.377,0.03
389.584,0.03
389.791,0.03
389.998,0.03
390.205,0.03
390.412,0.03
390.619,0.03
390.826,0.03
391.032,0.03
391.239,0.03
391.446,0.02
391.653,0.03
391.86,0.02
392.067,0.03
392.273,0.02
392.48,0.02
392.687,0.02
392.894,0.02
393.1,0.02
393.307,0.02
393.514,0.02
393.72,0.03
393.927,0.03
394.134,0.03
394.34,0.03
394.547,0.03
394.754,0.03
394.96,0.03
395.167,0.03
395.374,0.03
395.58,0.03
395.787,0.03
395.993,0.03
396.2,0.03
396.406,0.03
396.613,0.03
396.819,0.03
397.026,0.03
397.232,0.03
397.439,0.03
397.645,0.03
397.852,0.03
398.058,0.03
398.265,0.03
398.471,0.02
398.677,0.02
398.884,0.02
399.09,0.02
399.297,0.02
399.503,0.03
399.709,0.03
399.916,0.03
400.122,0.03
400.328,0.03
400.534,0.03
400.741,0.03
400.947,0.03
401.153,0.03
401.359,0.03
401.566,0.03
401.772,0.03
401.978,0.03
402.184,0.03
402.39,0.03
402.597,0.03
402.803,0.03
403.009,0.03
403.215,0.03
403.421,0.03
403.627,0.03
403.833,0.03
404.039,0.03
404.245,0.03
404.452,0.03
404.658,0.03
404.864,0.03
405.07,0.03
405.276,0.03
405.482,0.02
405.688,0.02
405.893,0.02
406.099,0.03
406.305,0.03
406.511,0.03
406.717,0.03
406.923,0.03
407.129,0.03
407.335,0.03
407.541,0.03
407.747,0.03
407.952,0.03
408.158,0.03
408.364,0.03
408.57,0.03
408.776,0.02
408.981,0.02
409.187,0.02
409.393,0.03
409.599,0.03
409.804,0.03
410.01,0.03
410.216,0.03
410.421,0.03
410.627,0.03
410.833,0.02
411.038,0.02
411.244,0.02
411.45,0.02
411.655,0.02
411.861,0.03
412.066,0.02
412.272,0.03
412.478,0.02
412.683,0.02
