Absorbance:209,
263.91,1.2
264.124,1.19
264.338,1.19
264.552,1.19
264.766,1.19
264.98,1.2
265.194,1.21
265.408,1.21
265.622,1.21
265.835,1.22
266.049,1.22
266.263,1.22
266.477,1.22
266.691,1.22
266.905,1.22
267.118,1.22
267.332,1.22
267.546,1.23
267.76,1.23
267.973,1.23
268.187,1.22
268.401,1.22
268.615,1.22
268.828,1.22
269.042,1.22
269.256,1.22
269.469,1.22
269.683,1.22
269.897,1.22
270.11,1.22
270.324,1.21
270.538,1.21
270.751,1.22
270.965,1.22
271.178,1.22
271.392,1.22
271.606,1.21
271.819,1.21
272.033,1.2
272.246,1.2
272.46,1.2
272.673,1.19
272.887,1.19
273.1,1.19
273.314,1.19
273.527,1.18
273.741,1.18
273.954,1.18
274.167,1.17
274.381,1.17
274.594,1.17
274.808,1.16
275.021,1.16
275.234,1.15
275.448,1.15
275.661,1.15
275.874,1.14
276.088,1.14
276.301,1.13
276.514,1.13
276.728,1.13
276.941,1.12
277.154,1.12
277.367,1.11
277.581,1.11
277.794,1.1
278.007,1.9
278.22,1.9
278.434,01.08
278.647,01.08
278.86,01.07
279.073,01.07
279.286,01.06
279.499,01.05
279.713,01.05
279.926,01.04
280.139,01.03
280.352,01.03
280.565,01.02
280.778,01.01
280.991,01.01
281.204,1
281.417,0.99
281.63,0.98
281.843,0.97
282.056,0.97
282.269,0.96
282.482,0.95
282.695,0.94
282.908,0.93
283.121,0.92
283.334,0.92
283.547,0.91
283.76,0.9
283.973,0.89
284.186,0.88
284.399,0.87
284.612,0.86
284.824,0.85
285.037,0.84
285.25,0.83
285.463,0.82
285.676,0.81
285.889,0.8
286.101,0.79
286.314,0.78
286.527,0.77
286.74,0.76
286.952,0.75
287.165,0.74
287.378,0.74
287.591,0.73
287.803,0.72
288.016,0.71
288.229,0.7
288.441,0.69
288.654,0.68
288.867,0.67
289.079,0.66
289.292,0.65
289.505,0.64
289.717,0.63
289.93,0.62
290.142,0.61
290.355,0.6
290.567,0.6
290.78,0.59
290.992,0.58
291.205,0.56
291.417,0.56
291.63,0.55
291.842,0.54
292.055,0.53
292.267,0.52
292.48,0.5
292.692,0.5
292.905,0.48
293.117,0.47
293.33,0.46
293.542,0.45
293.754,0.44
293.967,0.43
294.179,0.42
294.391,0.41
294.604,0.4
294.816,0.39
295.028,0.38
295.241,0.37
295.453,0.36
295.665,0.35
295.878,0.34
296.09,0.33
296.302,0.32
296.514,0.31
296.727,0.3
296.939,0.29
297.151,0.28
297.363,0.28
297.575,0.27
297.787,0.26
298,0.25
298.212,0.24
298.424,0.24
298.636,0.23
298.848,0.22
299.06,0.21
299.272,0.21
299.484,0.2
299.696,0.19
299.908,0.19
300.121,0.18
300.333,0.18
300.545,0.17
300.757,0.16
300.969,0.16
301.181,0.15
301.393,0.15
301.604,0.14
301.816,0.14
302.028,0.13
302.24,0.13
302.452,0.13
302.664,0.12
302.876,0.12
303.088,0.11
303.3,0.11
303.512,0.11
303.723,0.1
303.935,0.1
304.147,0.1
304.359,0.09
304.571,0.09
304.782,0.09
304.994,0.09
305.206,0.08
305.418,0.08
305.63,0.08
305.841,0.08
306.053,0.07
306.265,0.07
306.476,0.07
306.688,0.07
306.9,0.06
307.111,0.06
307.323,0.06
307.535,0.06
307.746,0.06
307.958,0.06
308.17,0.05
308.381,0.05
308.593,0.05
308.804,0.05
309.016,0.05
309.227,0.05
309.439,0.05
309.65,0.04
309.862,0.04
310.073,0.04
310.285,0.04
310.496,0.04
310.708,0.04
310.919,0.04
311.131,0.04
311.342,0.04
311.554,0.04
311.765,0.03
311.976,0.03
312.188,0.03
312.399,0.03
312.61,0.03
312.822,0.03
313.033,0.03
313.244,0.03
313.456,0.03
313.667,0.03
313.878,0.03
314.09,0.03
314.301,0.03
314.512,0.03
314.723,0.03
314.935,0.03
315.146,0.03
315.357,0.02
315.568,0.02
315.779,0.02
315.991,0.02
316.202,0.02
316.413,0.02
316.624,0.02
316.835,0.02
317.046,0.02
317.257,0.02
317.468,0.02
317.68,0.02
317.891,0.02
318.102,0.02
318.313,0.02
318.524,0.02
318.735,0.02
318.946,0.02
319.157,0.02
319.368,0.02
319.579,0.02
319.79,0.02
320.001,0.02
320.212,0.02
320.423,0.02
320.633,0.02
320.844,0.02
321.055,0.02
321.266,0.02
321.477,0.02
321.688,0.02
321.899,0.02
322.11,0.02
322.32,0.02
322.531,0.02
322.742,0.02
322.953,0.02
323.163,0.02
323.374,0.02
323.585,0.02
323.796,0.02
324.006,0.02
324.217,0.02
324.428,0.02
324.639,0.02
324.849,0.02
325.06,0.02
325.271,0.02
325.481,0.02
325.692,0.02
325.902,0.02
326.113,0.02
326.324,0.02
326.534,0.02
326.745,0.02
326.955,0.02
327.166,0.02
327.377,0.02
327.587,0.02
327.798,0.02
328.008,0.02
328.219,0.02
328.429,0.02
328.64,0.02
328.85,0.02
329.06,0.02
329.271,0.02
329.481,0.02
329.692,0.02
329.902,0.02
330.112,0.02
330.323,0.01
330.533,0.01
330.744,0.01
330.954,0.01
331.164,0.01
331.375,0.01
331.585,0.01
331.795,0.01
332.005,0.01
332.216,0.01
332.426,0.02
332.636,0.01
332.846,0.01
333.057,0.01
333.267,0.02
333.477,0.02
333.687,0.02
333.897,0.02
