Absorbance:209,
263.91,1.68
264.124,1.63
264.338,1.62
264.552,1.6
264.766,1.58
264.98,1.56
265.194,1.56
265.408,1.54
265.622,1.51
265.835,1.49
266.049,1.47
266.263,1.44
266.477,1.42
266.691,1.41
266.905,1.38
267.118,1.36
267.332,1.35
267.546,1.33
267.76,1.31
267.973,1.3
268.187,1.29
268.401,1.27
268.615,1.26
268.828,1.25
269.042,1.23
269.256,1.22
269.469,1.21
269.683,1.19
269.897,1.18
270.11,1.17
270.324,1.16
270.538,1.15
270.751,1.14
270.965,1.14
271.178,1.13
271.392,1.12
271.606,1.11
271.819,1.1
272.033,01.09
272.246,01.09
272.46,01.08
272.673,01.07
272.887,01.06
273.1,01.05
273.314,01.05
273.527,01.04
273.741,01.04
273.954,01.03
274.167,01.03
274.381,01.02
274.594,01.02
274.808,01.02
275.021,01.01
275.234,01.01
275.448,01.01
275.661,1
275.874,1
276.088,1
276.301,0.99
276.514,0.99
276.728,0.99
276.941,0.99
277.154,0.98
277.367,0.98
277.581,0.98
277.794,0.97
278.007,0.97
278.22,0.97
278.434,0.96
278.647,0.96
278.86,0.96
279.073,0.96
279.286,0.96
279.499,0.96
279.713,0.96
279.926,0.95
280.139,0.95
280.352,0.95
280.565,0.95
280.778,0.94
280.991,0.94
281.204,0.94
281.417,0.94
281.63,0.94
281.843,0.94
282.056,0.94
282.269,0.93
282.482,0.93
282.695,0.93
282.908,0.93
283.121,0.93
283.334,0.93
283.547,0.93
283.76,0.92
283.973,0.92
284.186,0.92
284.399,0.92
284.612,0.92
284.824,0.92
285.037,0.92
285.25,0.92
285.463,0.91
285.676,0.91
285.889,0.91
286.101,0.91
286.314,0.91
286.527,0.91
286.74,0.91
286.952,0.91
287.165,0.91
287.378,0.9
287.591,0.9
287.803,0.9
288.016,0.9
288.229,0.9
288.441,0.9
288.654,0.89
288.867,0.89
289.079,0.89
289.292,0.89
289.505,0.89
289.717,0.88
289.93,0.88
290.142,0.88
290.355,0.88
290.567,0.88
290.78,0.88
290.992,0.87
291.205,0.87
291.417,0.87
291.63,0.87
291.842,0.87
292.055,0.87
292.267,0.87
292.48,0.86
292.692,0.86
292.905,0.86
293.117,0.85
293.33,0.85
293.542,0.85
293.754,0.85
293.967,0.84
294.179,0.84
294.391,0.84
294.604,0.84
294.816,0.84
295.028,0.83
295.241,0.83
295.453,0.83
295.665,0.83
295.878,0.82
296.09,0.82
296.302,0.82
296.514,0.82
296.727,0.81
296.939,0.81
297.151,0.81
297.363,0.8
297.575,0.8
297.787,0.8
298,0.79
298.212,0.79
298.424,0.79
298.636,0.78
298.848,0.78
299.06,0.77
299.272,0.77
299.484,0.77
299.696,0.76
299.908,0.76
300.121,0.76
300.333,0.75
300.545,0.75
300.757,0.74
300.969,0.74
301.181,0.73
301.393,0.73
301.604,0.72
301.816,0.72
302.028,0.72
302.24,0.71
302.452,0.71
302.664,0.7
302.876,0.7
303.088,0.69
303.3,0.69
303.512,0.68
303.723,0.68
303.935,0.67
304.147,0.67
304.359,0.66
304.571,0.66
304.782,0.65
304.994,0.65
305.206,0.64
305.418,0.64
305.63,0.63
305.841,0.63
306.053,0.62
306.265,0.61
306.476,0.61
306.688,0.6
306.9,0.6
307.111,0.59
307.323,0.58
307.535,0.58
307.746,0.57
307.958,0.57
308.17,0.56
308.381,0.55
308.593,0.55
308.804,0.54
309.016,0.53
309.227,0.53
309.439,0.52
309.65,0.52
309.862,0.51
310.073,0.5
310.285,0.49
310.496,0.49
310.708,0.48
310.919,0.48
311.131,0.47
311.342,0.46
311.554,0.45
311.765,0.45
311.976,0.44
312.188,0.43
312.399,0.42
312.61,0.42
312.822,0.41
313.033,0.4
313.244,0.39
313.456,0.39
313.667,0.38
313.878,0.37
314.09,0.37
314.301,0.36
314.512,0.35
314.723,0.34
314.935,0.34
315.146,0.33
315.357,0.32
315.568,0.31
315.779,0.31
315.991,0.3
316.202,0.29
316.413,0.29
316.624,0.28
316.835,0.27
317.046,0.27
317.257,0.26
317.468,0.25
317.68,0.25
317.891,0.24
318.102,0.24
318.313,0.23
318.524,0.22
318.735,0.22
318.946,0.21
319.157,0.21
319.368,0.2
319.579,0.2
319.79,0.19
320.001,0.19
320.212,0.18
320.423,0.18
320.633,0.17
320.844,0.17
321.055,0.16
321.266,0.16
321.477,0.16
321.688,0.15
321.899,0.15
322.11,0.14
322.32,0.14
322.531,0.14
322.742,0.13
322.953,0.13
323.163,0.13
323.374,0.12
323.585,0.12
323.796,0.12
324.006,0.11
324.217,0.11
324.428,0.11
324.639,0.11
324.849,0.1
325.06,0.1
325.271,0.1
325.481,0.1
325.692,0.09
325.902,0.09
326.113,0.09
326.324,0.09
326.534,0.09
326.745,0.09
326.955,0.08
327.166,0.08
327.377,0.08
327.587,0.08
327.798,0.08
328.008,0.08
328.219,0.08
328.429,0.08
328.64,0.08
328.85,0.08
329.06,0.07
329.271,0.07
329.481,0.07
329.692,0.07
329.902,0.07
330.112,0.06
330.323,0.06
330.533,0.06
330.744,0.06
330.954,0.06
331.164,0.06
331.375,0.06
331.585,0.06
331.795,0.06
332.005,0.05
332.216,0.05
332.426,0.05
332.636,0.05
332.846,0.05
333.057,0.05
333.267,0.05
333.477,0.05
333.687,0.05
333.897,0.05
334.108,0.05
334.318,0.05
334.528,0.05
334.738,0.05
334.948,0.05
335.158,0.04
335.368,0.04
335.578,0.04
335.788,0.04
335.998,0.04
336.209,0.04
336.419,0.04
336.629,0.04
336.839,0.04
337.049,0.04
337.259,0.04
337.469,0.04
337.679,0.04
337.888,0.04
338.098,0.04
338.308,0.04
338.518,0.04
338.728,0.04
338.938,0.04
339.148,0.04
339.358,0.04
339.568,0.04
339.777,0.04
339.987,0.04
340.197,0.04
340.407,0.04
340.617,0.04
340.826,0.04
341.036,0.04
341.246,0.04
341.456,0.04
341.666,0.04
341.875,0.04
342.085,0.04
342.295,0.04
342.504,0.03
342.714,0.03
342.924,0.03
343.133,0.03
343.343,0.03
343.553,0.03
343.762,0.03
343.972,0.03
344.181,0.03
344.391,0.03
344.601,0.03
344.81,0.03
345.02,0.03
345.229,0.03
345.439,0.03
345.648,0.03
345.858,0.03
346.067,0.03
346.277,0.03
346.486,0.03
346.696,0.03
346.905,0.03
347.114,0.03
347.324,0.03
347.533,0.03
347.743,0.03
347.952,0.03
348.161,0.03
348.371,0.03
348.58,0.03
348.789,0.03
348.999,0.03
349.208,0.03
349.417,0.03
349.627,0.03
349.836,0.03
350.045,0.03
350.254,0.03
350.464,0.03
350.673,0.03
350.882,0.03
351.091,0.03
351.3,0.03
351.51,0.03
351.719,0.03
351.928,0.03
352.137,0.03
352.346,0.03
352.555,0.03
352.764,0.03
352.973,0.03
353.183,0.03
353.392,0.03
353.601,0.03
353.81,0.03
354.019,0.03
354.228,0.03
354.437,0.03
354.646,0.03
354.855,0.03
355.064,0.03
355.273,0.03
355.482,0.03
355.691,0.03
355.899,0.03
356.108,0.03
356.317,0.03
356.526,0.03
356.735,0.03
356.944,0.03
357.153,0.03
357.362,0.03
357.57,0.03
357.779,0.03
357.988,0.03
358.197,0.03
358.406,0.03
358.614,0.03
358.823,0.03
359.032,0.03
359.241,0.03
359.449,0.03
359.658,0.03
359.867,0.03
360.075,0.03
360.284,0.03
360.493,0.03
360.701,0.03
360.91,0.03
361.119,0.03
361.327,0.03
361.536,0.03
361.744,0.03
361.953,0.03
362.161,0.03
362.37,0.03
362.579,0.03
362.787,0.03
362.996,0.03
363.204,0.03
363.413,0.03
363.621,0.03
363.83,0.03
364.038,0.03
364.246,0.03
364.455,0.03
364.663,0.03
364.872,0.03
365.08,0.03
365.288,0.03
365.497,0.03
365.705,0.03
365.913,0.03
366.122,0.03
366.33,0.03
366.538,0.03
366.747,0.03
366.955,0.03
367.163,0.03
367.372,0.03
367.58,0.03
367.788,0.03
367.996,0.03
368.204,0.03
368.413,0.03
368.621,0.03
368.829,0.03
369.037,0.03
369.245,0.03
369.453,0.03
369.662,0.03
369.87,0.03
370.078,0.03
370.286,0.03
370.494,0.03
370.702,0.03
370.91,0.03
371.118,0.03
371.326,0.03
371.534,0.03
371.742,0.03
371.95,0.03
372.158,0.03
372.366,0.03
372.574,0.03
372.782,0.03
372.99,0.03
373.198,0.03
373.406,0.03
373.614,0.03
373.821,0.03
374.029,0.03
374.237,0.03
374.445,0.03
374.653,0.03
374.861,0.03
375.068,0.03
375.276,0.03
375.484,0.03
375.692,0.03
375.899,0.03
376.107,0.03
376.315,0.03
376.523,0.03
376.73,0.03
376.938,0.03
377.146,0.03
377.353,0.03
377.561,0.03
377.769,0.03
377.976,0.03
378.184,0.03
378.392,0.03
378.599,0.03
378.807,0.03
379.014,0.03
379.222,0.03
379.429,0.03
379.637,0.03
379.845,0.03
380.052,0.03
380.26,0.03
380.467,0.03
380.674,0.03
380.882,0.03
381.089,0.03
381.297,0.03
381.504,0.03
381.712,0.03
381.919,0.03
382.126,0.03
382.334,0.03
382.541,0.03
382.749,0.03
382.956,0.03
383.163,0.03
383.371,0.03
383.578,0.03
383.785,0.03
383.992,0.03
384.2,0.03
384.407,0.03
384.614,0.03
384.821,0.03
385.029,0.03
385.236,0.03
385.443,0.03
385.65,0.03
385.857,0.03
386.064,0.03
386.272,0.03
386.479,0.03
386.686,0.03
